ICD10,PHECODE,Excl. Phecodes,Excl. Phenotypes
D75.9,289,288-289.99,Other diseases of the blood
K66.9,568,565-569.99, Other gastrointestinal
J98.4,510,510-510.99, Other diseases of the lung
M15.0,740.2,740-740.99, osteoarthritis
H47.1,377,375-379.99, other eye disorders
C68.1,189.4,188-189.99,"Malignant neoplasm of badder, kidney and other urinary organs"
C02.3,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
T83.5,81,,
L27.0,939,930-949.99, allergic reactions
I49.8,427.3,426-427.99, cardiac conduction disorders
B57.5,133,130-136.99, Other infections; including parasitic
I28.8,415,415-417.99,DISEASES OF PULMONARY CIRCULATION
I89.8,450,450-450.99, Noninfectious disorders of lymphatic channels
L27.0,687.1,687-687.99, Symptoms affecting skin
C16.0,151,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
L27.0,1010,,
S81,871,870-879.99, Open wound
T47,973,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
O70.0,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
C97-C97.9,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
O73,669,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
J30.1,476,470-479.99, other/chronic upper respiratory disease
B00.2,54,,
T53.2,981,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
P05.0,637,634-639.99," miscarriage, early labor, hemorrhage"
T40.9,969,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
K58.0,564.1,555-564.99, noninfective gastrointestinal disorders
Y36.9,1009,,
B50.0,133,130-136.99, Other infections; including parasitic
Q62,751.3,750-751.99," congenital anomalies of gi, urinary tract"
F12.5,316,316-319.99, Substance-related disorders
T62.9,988,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
L05.9,686.3,680-686.99, Skin and subcutaneous tissue infections
G11.4,334.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
P26.1,656.2,656-656.99,Other and unspecified perinatal conditions
C77.0,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
M71.1,727.2,725-729.99,"Rheumatism, Excluding The Back"
N36.8,597,595-597.99, other diseases of urinary system
L08.0,686.5,680-686.99, Skin and subcutaneous tissue infections
I47.9,427.1,426-427.99, cardiac conduction disorders
R64,260.1,260-264.99,Nutritional deficiencies
D07.0,182,"174-184.99, 218-218.99", cancer of female genital organs; benign neoplasm of uterus
O84.0,651,651-651.99,Multiple gestation
K08.2,525.2,520-526.99, Disorders of teeth and jaw
D32.1,225.2,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
O71.4,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
O84.0,634,634-636.99,complications of pregnancy
Q55.9,751.1,750-751.99," congenital anomalies of gi, urinary tract"
Q72.0,755.6,754-756.99, congenital musculoskeletal anomalies
F98.5,313.2,312-315.99,Developmental/behavioral disorders
S61.8,871,870-879.99, Open wound
H18.9,364,360-365.99, Degenerative disorders of the eye
Q82.4,691,690-697.99, Other inflammatory condition of skin
P51,656.4,656-656.99,Other and unspecified perinatal conditions
R27,350.3,350-350.99," Other symptoms, reflex"
A71,369,369-374.99, infection/inflammation of eye
S84.1,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
C63.1,187.1,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
P35.8,657,657-657.99,Infections specific to the perinatal period
B17.1,70.3,,
R76.0,279.7,279-279.99,Other Immune Disorders
J80,509.2,500-509.99, Pneumoconioses and other lung diseases
E84.9,499,499-499.99, Cystic fibrosis (move?)
G61.9,357,356-359.99, Disorders of the peripheral nervous system
N83.1,628,626-628.99," menstrual/menopausal disorders, female infertility"
N00.7,580.11,580-590.99, diseases of kidney and ureters
G57.8,351,351-355.99, mononeuritis and nerve lesions
A50,90,,
H67,381.11,381-385.99, otitis media and related conditions
C81-C96.9,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
I21,411.2,410-414.99,ISCHEMIC HEART DISEASE
S66.1,1009,,
G00.2,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
S52.2,803.2,800-809.99, Fractures
D82.0,279.1,279-279.99,Other Immune Disorders
D13.1,211,"211-211.99, 150-159.99",Cancer/benign neoplams of digestive system
G47.2,327.6,327-328.99,Sleep disorders
H67.1,381.1,381-385.99, otitis media and related conditions
Z73.4,389,387-389.99, Hearing loss and related disorders
T63.2,979,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
H28.1,366,366-366.99,Cataract
N00,580,580-590.99, diseases of kidney and ureters
F95,313.2,312-315.99,Developmental/behavioral disorders
C32.3,149.4,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
T63.2,913,912-913.99," insect bite, toxic effect of venom"
Q65.3,755.61,754-756.99, congenital musculoskeletal anomalies
Q64.5,751.2,750-751.99," congenital anomalies of gi, urinary tract"
Q22.6,747.12,747-747.99," congenital anomalies, circulatory and cardiac"
G63.2,250.6,249-250.99,DIABETES
E28.0,256.1,251-259.99,Other endocrine disorders
T63.2,1015,,
C77.5,198.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
C45.7,195.1,195-199.99,"Neoplasms: malignant, secondary or uncertain"
Q77.0,756,754-756.99, congenital musculoskeletal anomalies
I05.9,394.2,394-399.99, heart valve disorders
D23.0,216,216-217.99,Benign neoplasm of skin
T84.1,858,850-859.99, Complications
C69.2,190,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
B33.8,79,,
T91.4,1008,,
R94.1,346,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
F93,313,312-315.99,Developmental/behavioral disorders
S39.7,1009,,
F03,290.1,290-292.99, dementia and related cognitive disorders/symptoms
B95.6,41.1,,
K51.9,555.2,555-564.99, noninfective gastrointestinal disorders
O15.2,642.1,642-642.99," Hypertension complicating pregnancy, childbirth, and the puerperium"
K27.6,531.4,531-531.99, gastro ulcer
Q98.8,758.1,756-759.99, All other congenital anomalies
S39.7,915,910-919.99,"superficial, contusion, crushing injuries"
S66.4,1009,,
L60.9,703,703-704.99, Diseases of hair and nails
J18.8,480,480-488.99, Pneumonia and influenza
Y87.0,297.2,295-306.99, psychological disorders
Q55.1,751.1,750-751.99," congenital anomalies of gi, urinary tract"
T46.8,972,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
P08,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
O92.1,676,670-677.99,COMPLICATIONS OF THE PUERPERIUM
Q81.2,691,690-697.99, Other inflammatory condition of skin
R82.3,285.8,280-285.99,Anemias
N48.9,604,600-609.99, male genital disorders
N16,590,590-593.99, Urinary tract infections
C48.0,159.4,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
J90,507,500-509.99, Pneumoconioses and other lung diseases
Y57.4,979,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
P01.5,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
G61.8,357,356-359.99, Disorders of the peripheral nervous system
I50.9,428.2,428-429.99, Heart failure
M95.4,738,735-739.99, Acquired deformities
A41.4,38,,
I77.6,446.9,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
N39.2,269,269-270.99, Disorders of amino-acid transport/metabolism
N60.1,610.1,610-613.99, nonmalignant breast conditions
D25.1,218.1,"217-223.99, 180-184.99"," benign neoplasm of breast, ovary, uterus, and other genitourinary organs; uterine/ovarian cancer"
M40.1,737.1,735-739.99, Acquired deformities
H83.3,389.3,387-389.99, Hearing loss and related disorders
R87.8,1010,,
K00.2,520.1,520-526.99, Disorders of teeth and jaw
S23.2,830,830-839.99, joint disorders and dislocations; trauma-related
C47.3,170.2,170-171.99,"Cancer of bone, connective tissue"
C47,170.2,170-171.99,"Cancer of bone, connective tissue"
Q38.1,750.13,750-751.99," congenital anomalies of gi, urinary tract"
H60.8,380.1,380-380.99, disorders of external ear
R01,396,394-399.99, heart valve disorders
Q53.2,751.12,750-751.99," congenital anomalies of gi, urinary tract"
C18.4,153.2,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
N95.0,627.1,626-628.99," menstrual/menopausal disorders, female infertility"
G80.3,333.4,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
L04.2,289.4,288-289.99,Other diseases of the blood
A79.0,136,130-136.99, Other infections; including parasitic
I84.3,455,450-457.99, diseases of veins and lymphatics
R60.1,782.3,782-782.99,Symptoms involving skin and other integumentary tissue
O03.1,634,634-636.99,complications of pregnancy
C04.0,145.5,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
O32.8,652,652-654.99,Other and unspecified complications of birth affecting mother
N32.1,596,595-597.99, other diseases of urinary system
J39.3,479,470-479.99, other/chronic upper respiratory disease
A80.1,324,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
Y55.4,975,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
G35,335,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
C15.2,150,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
T55,989,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
S65.1,1007,,
S84,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
R87,1010,,
D50.1,280.1,280-285.99,Anemias
O69.0,663,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
G51.1,352.2,351-355.99, mononeuritis and nerve lesions
R89.7,1010,,
E13.4,250.24,249-250.99,DIABETES
S70,915,910-919.99,"superficial, contusion, crushing injuries"
T24.2,1000,,
L67.0,704.8,703-704.99, Diseases of hair and nails
L56.0,938.1,930-949.99, allergic reactions
Z03.1,195,195-199.99,"Neoplasms: malignant, secondary or uncertain"
R89.5,1010,,
F10.6,317.1,316-319.99, Substance-related disorders
E24,255.11,251-259.99,Other endocrine disorders
R29.8,781,781-781.99, Symptoms involving nervous and musculoskeletal systems
N87.0,180.3,"174-184.99, 218-218.99, 792-792.99", cancer of female genital organs; benign neoplasm of uterus; abnormal pap smear
Q42.1,750.21,750-751.99," congenital anomalies of gi, urinary tract"
Q86.0,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
O98.1,647,647-647.99, Infectious and parasitic complications affecting pregnancy
Y58.8,941,930-949.99, allergic reactions
S22.3,807,800-809.99, Fractures
D57.3,282.5,280-285.99,Anemias
H01.8,371.3,369-374.99, infection/inflammation of eye
B83,134.1,130-136.99, Other infections; including parasitic
T38.4,962,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
B83,134,130-136.99, Other infections; including parasitic
E74.0,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
T38.4,963,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
O46.9,635.2,634-636.99,complications of pregnancy
N88.1,617,617-618.99, prolapse/fistula and other disorders often associated with childbirth
M20-M25.9,716.9,710-716.99,Arthropathies
L57.0,702.1,702-702.99,
K81.9,574.3,574-576.99, Biliary tract disease
B55.2,133,130-136.99, Other infections; including parasitic
H16.2,370.3,369-374.99, infection/inflammation of eye
H66.9,381.11,381-385.99, otitis media and related conditions
M20-M25.9,741,741-742.99, other non-traumatic joint disorders
O03.5,634,634-636.99,complications of pregnancy
S70.9,915,910-919.99,"superficial, contusion, crushing injuries"
K90.3,577,577-577.99, pancreatic disorders
K59.9,564,555-564.99, noninfective gastrointestinal disorders
E13.7,250.2,249-250.99,DIABETES
T40.2,969,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
F45.2,303.4,295-306.99, psychological disorders
G56.4,351,351-355.99, mononeuritis and nerve lesions
D62,285.1,280-285.99,Anemias
M14.6,713.5,710-716.99,Arthropathies
G53.0,53.1,,
G73.1,358,356-359.99, Disorders of the peripheral nervous system
Q98.5,758.1,756-759.99, All other congenital anomalies
C26.0,153.2,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
L93.0,695.41,"690-697.99, 335-335.99"," other inflammatory condition of skin, MS"
K30,785,785-785.99, Abdominal pain
K76.5,573,570-573.99, Liver disease
Y55.1,975,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
C39.0,165,160-165.99,Malignant neoplasm of respiratory and intrathoracic organs
M61,728.1,725-729.99,"Rheumatism, Excluding The Back"
J99,510,510-510.99, Other diseases of the lung
Q38.7,750.13,750-751.99," congenital anomalies of gi, urinary tract"
O92.6,612.1,610-613.99, nonmalignant breast conditions
C57.0,184.1,"174-184.99, 220-221.99", cancer of female genital organs; benign neoplasm of female genital organs
Q21,747.11,747-747.99," congenital anomalies, circulatory and cardiac"
T02.5,800,800-809.99, Fractures
B05.3,381.1,381-385.99, otitis media and related conditions
M75,726,725-729.99,"Rheumatism, Excluding The Back"
G47.0,327.41,327-328.99,Sleep disorders
N92.3,626.14,626-628.99," menstrual/menopausal disorders, female infertility"
B66.1,134,130-136.99, Other infections; including parasitic
H69.8,381.2,381-385.99, otitis media and related conditions
Q34.8,748,748-749.99," congenital anomalies of respiratory system, face and neck"
S56.5,1009,,
O62.0,661,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
T67.7,1014,,
A22.0,686,680-686.99, Skin and subcutaneous tissue infections
H72.0,384.4,381-385.99, otitis media and related conditions
T95.9,1000,,
H51.2,378,375-379.99, other eye disorders
H74.0,385.5,381-385.99, otitis media and related conditions
F43.1,300.9,295-306.99, psychological disorders
T45.3,963,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
J01.0,464,460-469.99, acute upper respiratory infections
K13.2,528.6,527-529.99, Diseases of mouth; excluding dental
K29.4,535.2,535-537.99, disorders of stomach
Y65.3,1011,,
S37.5,1008,,
R79.9,790.6,790-790.99,Nonspecific findings on examination of blood
D53.0,281,280-285.99,Anemias
S85.0,1007,,
M86.4,710.12,710-716.99,Arthropathies
Q90.1,758.1,756-759.99, All other congenital anomalies
G58.9,351,351-355.99, mononeuritis and nerve lesions
T49.2,976,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
T04.2,1006,,
R45.3,1004,,
L91.8,701,700-701.99, hypertrophic skin conditions
S50.7,915,910-919.99,"superficial, contusion, crushing injuries"
C47.6,170.2,170-171.99,"Cancer of bone, connective tissue"
K62.6,556,555-564.99, noninfective gastrointestinal disorders
Q77.5,756,754-756.99, congenital musculoskeletal anomalies
F94.1,313,312-315.99,Developmental/behavioral disorders
L58,938,930-949.99, allergic reactions
M31.6,446.5,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
Q00,752.1,752-754.99," congenital anomalies of nervous system, spine"
E34.1,259,251-259.99,Other endocrine disorders
I60.5,430.1,430-438.99,CEREBROVASCULAR DISEASE
J36,474,470-479.99, other/chronic upper respiratory disease
L54,695.8,690-697.99, Other inflammatory condition of skin
O15,642.1,642-642.99," Hypertension complicating pregnancy, childbirth, and the puerperium"
J93.1,506,500-509.99, Pneumoconioses and other lung diseases
G54.8,353,351-355.99, mononeuritis and nerve lesions
C78.3,198.2,195-199.99,"Neoplasms: malignant, secondary or uncertain"
Y50.9,969,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
D03.2,172.11,172-173.99,Malignant neoplasm of skin
N98.1,1011,,
R46.4,1019,,
Q03,752.2,752-754.99," congenital anomalies of nervous system, spine"
S65.8,1007,,
G23.1,333.8,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
S84.0,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
N14,580.32,580-590.99, diseases of kidney and ureters
O03.9,634,634-636.99,complications of pregnancy
L85.2,701.1,700-701.99, hypertrophic skin conditions
G25.8,333,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
H60-H95.9,388,387-389.99, Hearing loss and related disorders
R43,350.6,350-350.99," Other symptoms, reflex"
H49,378.5,375-379.99, other eye disorders
L27.2,930,930-949.99, allergic reactions
Z88.7,941,930-949.99, allergic reactions
J34.2,470,470-479.99, other/chronic upper respiratory disease
N98.1,256,251-259.99,Other endocrine disorders
I21.0,411.2,410-414.99,ISCHEMIC HEART DISEASE
N13.1,595,594-595.99, urinary calculus
F44.0,303.1,295-306.99, psychological disorders
B18.1,70.2,,
T80.4,942,930-949.99, allergic reactions
A39.0,320,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
Q72.8,755.6,754-756.99, congenital musculoskeletal anomalies
F91,312,312-315.99,Developmental/behavioral disorders
T80.4,1011,,
F17.0,318,316-319.99, Substance-related disorders
G96.1,349,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
F30-F39.9,296,295-306.99, psychological disorders
O21.0,643.1,643-643.99,Excessive vomiting in pregnancy
K03.7,521,520-526.99, Disorders of teeth and jaw
O32.0,652,652-654.99,Other and unspecified complications of birth affecting mother
R19.5,579.8,578-579.99, Other diseases of digestive system
